[00:00:35.076] 954705 13.93 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:35.159] 954716 13.00 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:35.203] 954722 15.77 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:35.411] 954751 14.90 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:35.494] 954762 14.80 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:35.528] 954767 7.12 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 7 frames dropped. Process: 0.4/0.702/3.5 ms, Frame: 1.1/7.351/18.9 ms, FPS: 136.041 (initial: 144.000). Nodes:
[00:00:35.528] 954767 7.14 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.2 ms)
[00:00:35.528] 954767 7.15 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:35.528] 954767 7.15 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:35.605] 954777 15.11 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:35.767] 954799 17.00 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:35.877] 954814 9.18 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:36.404] 954889 14.82 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:36.535] 954908 6.94 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 3 frames dropped. Process: 0.4/0.670/3.8 ms, Frame: 2.5/7.141/17.0 ms, FPS: 140.030 (initial: 144.000). Nodes:
[00:00:36.535] 954908 6.95 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.2 ms)
[00:00:36.535] 954908 6.96 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:36.535] 954908 6.96 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:36.612] 954918 14.76 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:36.883] 954956 15.29 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:37.202] 955001 14.64 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:37.539] 955049 10.80 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 3 frames dropped. Process: 0.4/0.699/3.4 ms, Frame: 1.9/7.120/15.3 ms, FPS: 140.448 (initial: 144.000). Nodes:
